id,name,region,category,google_rating,review_count,interest_tags,distance_km,interest_match,rating_norm,review_norm,distance_efficiency,xai_score
21,Dotonbori,Osaka,district,4.4,79000,food|night_view|city_walk,1.1,0.92,0.8800,0.9754,0.8197,0.9106
1,Senso-ji,Tokyo,temple,4.5,76000,history|culture|temple,2.4,0.92,0.9000,0.9720,0.6757,0.9032
11,Fushimi Inari Taisha,Kyoto,shrine,4.6,86000,shrine|history|hiking,3.4,0.90,0.9200,0.9827,0.5952,0.9023
12,Kiyomizu-dera,Kyoto,temple,4.5,58000,temple|history|city_view,2.7,0.89,0.9000,0.9487,0.6494,0.8875
3,Meiji Jingu,Tokyo,shrine,4.6,39000,history|nature|shrine,2.9,0.88,0.9200,0.9143,0.6329,0.8816
22,Osaka Castle,Osaka,castle,4.4,72000,history|castle|park,2.8,0.84,0.8800,0.9674,0.6410,0.8743
23,Universal Studios Japan,Osaka,theme_park,4.5,105000,theme_park|family|anime,7.5,0.86,0.9000,1.0000,0.4000,0.8720
9,Tokyo Tower,Tokyo,landmark,4.4,78000,city_view|landmark|night_view,2.6,0.80,0.8800,0.9743,0.6579,0.8701
2,Tokyo Skytree,Tokyo,landmark,4.4,91000,city_view|shopping|landmark,3.8,0.82,0.8800,0.9876,0.5682,0.8691
4,Shibuya Crossing,Tokyo,landmark,4.5,42000,city_walk|photo|shopping,1.2,0.76,0.9000,0.9207,0.8065,0.8689
17,Nishiki Market,Kyoto,food,4.2,31000,food|market|local,1.3,0.90,0.8400,0.8945,0.7937,0.8637
14,Kinkaku-ji,Kyoto,temple,4.5,46000,temple|history|garden,5.1,0.87,0.9000,0.9286,0.4950,0.8621
6,Tsukiji Outer Market,Tokyo,food,4.2,28000,food|market|local,1.8,0.91,0.8400,0.8857,0.7353,0.8572
51,Nara Park,Kansai,park,4.5,62000,nature|family|culture,8.0,0.86,0.9000,0.9544,0.3846,0.8568
15,Gion,Kyoto,district,4.4,25000,culture|city_walk|food,1.6,0.83,0.8800,0.8759,0.7576,0.8565
16,Nijo Castle,Kyoto,castle,4.4,36000,history|castle|garden,2.2,0.81,0.8800,0.9074,0.6944,0.8557
52,Todai-ji,Kansai,temple,4.6,35000,temple|history|culture,8.5,0.88,0.9200,0.9050,0.3704,0.8525
32,Okinawa Churaumi Aquarium,Okinawa,aquarium,4.6,56000,aquarium|family|nature,18.0,0.88,0.9200,0.9456,0.2174,0.8494
13,Arashiyama Bamboo Grove,Kyoto,nature,4.4,52000,nature|photo|walk,6.2,0.85,0.8800,0.9392,0.4464,0.8484
7,teamLab Planets,Tokyo,museum,4.6,23000,art|indoor|photo,4.7,0.84,0.9200,0.8687,0.5155,0.8481
24,Kuromon Ichiba Market,Osaka,food,4.1,23000,food|market|local,1.4,0.88,0.8200,0.8687,0.7812,0.8427
5,Ueno Park,Tokyo,park,4.3,31000,nature|museum|family,2.1,0.79,0.8600,0.8945,0.7042,0.8408
27,Osaka Aquarium Kaiyukan,Osaka,aquarium,4.4,45000,aquarium|family|indoor,6.1,0.82,0.8800,0.9267,0.4505,0.8391
26,Umeda Sky Building,Osaka,landmark,4.4,33000,city_view|architecture|night_view,3.0,0.77,0.8800,0.8999,0.6250,0.8385
41,Odori Park,Hokkaido,park,4.2,24000,nature|seasonal|walk,0.7,0.76,0.8400,0.8723,0.8772,0.8374
