id,name,region,category,google_rating,review_count,interest_tags,station_anchor,distance_to_station_km,interest_match,rating_norm,review_norm,station_distance_efficiency,xai_score,image_url,lat,lng,source_id
2424,東京ステーションギャラリー,東京都,美術館,4.0,100,美術館,Tokyo Station,0.0,0.70,0.8000,1.0000,0.9935,0.8593,http://commons.wikimedia.org/wiki/Special:FilePath/Tokyo%20station%20gallery.jpg,35.6809580,139.7673060,Q115265693
3696,青森市民美術展示館,青森縣,美術館,4.0,100,美術館,Aomori Station,0.0,0.70,0.8000,1.0000,0.9926,0.8593,,40.8287880,140.7349250,Q131910775
2785,那霸市歷史博物館,沖繩縣,歷史博物館,4.0,100,歷史博物館,Naha Bus Terminal,0.1,0.70,0.8000,1.0000,0.9723,0.8572,http://commons.wikimedia.org/wiki/Special:FilePath/Pallet%20Kumoji%20Naha%20Okinawa03s3s4500.jpg,26.2137808,127.6792541,Q22952141
3717,睡魔之家WARASSE,青森縣,山車会館,4.0,100,山車会館,Aomori Station,0.2,0.70,0.8000,1.0000,0.9695,0.8570,http://commons.wikimedia.org/wiki/Special:FilePath/Nebuta%20Museum%20Wa%20Rasse%2020200621.jpg,40.8295556,140.7359444,Q11275091
3998,アミュラン,鹿兒島縣,摩天輪,4.0,100,摩天輪,Kagoshima-Chuo Station,0.2,0.70,0.8000,1.0000,0.9649,0.8565,http://commons.wikimedia.org/wiki/Special:FilePath/Amu1.jpg,31.5847222,130.5425000,Q17085094
3754,静岡科学館,靜岡縣,科學博物館,4.0,100,科學博物館,Shizuoka Station,0.2,0.70,0.8000,1.0000,0.9644,0.8564,http://commons.wikimedia.org/wiki/Special:FilePath/Mizunomori%20Building%20and%20S-Patio.JPG,34.9706390,138.3903610,Q11663569
122,京都塔,京都府,觀光塔,4.0,100,觀光塔,Kyoto Station,0.2,0.70,0.8000,1.0000,0.9630,0.8563,http://commons.wikimedia.org/wiki/Special:FilePath/Kyoto%20Tower%202023-12%20ac%20%281%29.jpg,34.9875000,135.7591667,Q1201304
3764,静岡ホビースクエア,靜岡縣,玩具博物館,4.0,100,玩具博物館,Shizuoka Station,0.2,0.70,0.8000,1.0000,0.9616,0.8562,http://commons.wikimedia.org/wiki/Special:FilePath/Night%20view%20of%20the%20south%20exit%20of%20Shizuoka%20Station.jpg,34.9710278,138.3908333,Q11662917
579,札幌拉麵共和國,北海道,餐館,4.0,100,餐館,Sapporo Station,0.2,0.70,0.8000,1.0000,0.9599,0.8560,http://commons.wikimedia.org/wiki/Special:FilePath/Sapporo%20ramen%20Kyowakoku1.jpg,43.0675000,141.3527778,Q11521088
3288,こむこむ,福島縣,科學博物館,4.0,100,科學博物館,Fukushima Station,0.2,0.70,0.8000,1.0000,0.9550,0.8555,,37.7521389,140.4606111,Q11266882
2986,そごう美術館,神奈川縣,美術館,4.0,100,美術館,Yokohama Station,0.2,0.70,0.8000,1.0000,0.9530,0.8553,http://commons.wikimedia.org/wiki/Special:FilePath/Yokohama%20Shitoshi%20Bld.jpg,35.4655556,139.6253056,Q11270320
1676,岡山市博物館,岡山縣,博物館,4.0,100,博物館,Okayama Station,0.3,0.70,0.8000,1.0000,0.9507,0.8551,http://commons.wikimedia.org/wiki/Special:FilePath/Lit%20City%20Bldg.%282008.2%29.JPG,34.6665530,133.9157650,Q11472041
3920,鳥取民芸美術館,鳥取縣,美術館,4.0,100,美術館,Tottori Station,0.3,0.70,0.8000,1.0000,0.9510,0.8551,http://commons.wikimedia.org/wiki/Special:FilePath/Tottori%20folkcraft%20museum%20of%20art02%201920.jpg,35.4961000,134.2270000,Q7828504
2479,JAXAi,東京都,宇宙工学博物館,4.0,100,宇宙工学博物館,Tokyo Station,0.3,0.70,0.8000,1.0000,0.9500,0.8550,http://commons.wikimedia.org/wiki/Special:FilePath/JAXAi%20Entrance.JPG,35.6835000,139.7664170,Q11225399
1192,宮崎科学技術館,宮崎縣,科學博物館,4.0,100,科學博物館,Miyazaki Station,0.3,0.70,0.8000,1.0000,0.9493,0.8549,http://commons.wikimedia.org/wiki/Special:FilePath/Miyazaki%20Science%20Center%2020170318-2.jpg,31.9144722,131.4338333,Q97212652
1457,甲州夢小路,山梨縣,觀光景點,4.0,100,觀光景點,Kofu Station,0.3,0.70,0.8000,1.0000,0.9470,0.8547,http://commons.wikimedia.org/wiki/Special:FilePath/Kofu%20yume%20kouji%201.JPG,35.6668889,138.5713889,Q20044182
3514,日本二十六聖人紀念館,長崎縣,キリスト教博物館,4.0,100,キリスト教博物館,Nagasaki Station,0.3,0.70,0.8000,1.0000,0.9425,0.8542,http://commons.wikimedia.org/wiki/Special:FilePath/26%20martyrs%20museum.jpg,32.7547222,129.8716667,Q84029
2286,敦井美術館,新潟縣,美術館,4.0,100,美術館,Niigata Station,0.3,0.70,0.8000,1.0000,0.9389,0.8539,http://commons.wikimedia.org/wiki/Special:FilePath/Niigata%2CHokuriku%20Building.JPG,37.9144440,139.0595830,Q11499516
965,HEP NAVIO,大阪府,複合商業設施,4.0,100,複合商業設施,Osaka Station,0.4,0.70,0.8000,1.0000,0.9299,0.8530,http://commons.wikimedia.org/wiki/Special:FilePath/Osaka%2C%20hep%20navio%2001.jpg,34.7032214,135.4999319,Q138666212
3478,岡正治記念長崎平和資料館,長崎縣,和平博物館,4.0,100,和平博物館,Nagasaki Station,0.4,0.70,0.8000,1.0000,0.9305,0.8530,,32.7552320,129.8721430,Q105557496
2172,名古屋東洋官窯陶磁美術館,愛知縣,陶瓷博物館,4.0,100,陶瓷博物館,Nagoya Station,0.4,0.70,0.8000,1.0000,0.9280,0.8528,http://commons.wikimedia.org/wiki/Special:FilePath/Nakamura%2020220408-55.jpg,35.1723889,136.8853611,Q130542834
3113,原鉄道模型博物館,神奈川縣,鐵路博物館,4.0,100,鐵路博物館,Yokohama Station,0.4,0.70,0.8000,1.0000,0.9268,0.8527,http://commons.wikimedia.org/wiki/Special:FilePath/Hara%20Model%20Railway%20Museum%20entrance%2020120711.jpg,35.4630556,139.6247222,Q5653524
2068,ヒマラヤ美術館,愛知縣,美術館,4.0,100,美術館,Nagoya Station,0.4,0.70,0.8000,1.0000,0.9264,0.8526,,35.1673272,136.8815158,Q11330164
1933,徳島市立徳島城博物館,德島縣,博物館,4.0,100,博物館,Tokushima Station,0.4,0.70,0.8000,1.0000,0.9202,0.8520,http://commons.wikimedia.org/wiki/Special:FilePath/Tokushima%20castle%20museum02s3872.jpg,34.0735280,134.5556390,Q11489793
984,HEP,大阪府,複合商業設施,4.0,100,複合商業設施,Osaka Station,0.4,0.70,0.8000,1.0000,0.9178,0.8518,http://commons.wikimedia.org/wiki/Special:FilePath/TOHO%20CINEMAS%20Umeda%20in%20201409.JPG,34.7040028,135.5004466,Q751156
3366,秋田市立千秋美術館,秋田縣,美術館,4.0,100,美術館,Akita Station,0.4,0.70,0.8000,1.0000,0.9184,0.8518,http://commons.wikimedia.org/wiki/Special:FilePath/Entrance%20of%20the%20Akita%20Senshu%20Museum%20of%20Art.jpg,39.7173890,140.1245830,Q11595323
