source_id,name,prefecture,category,lat,lng,google_rating,google_star,google_review_count,google_name_matched,image_url,has_image,source
Q17222158,オーストラリア記念館,三重縣,博物館,34.9852220,136.6486110,0,0,0,オーストラリア記念館跡地,http://commons.wikimedia.org/wiki/Special:FilePath/Japan%20World%20Exposition%20Australia%20Memorial.jpg,1,japan_with_rating
Q135284751,サイトウミュージアム,三重縣,美術館,34.5767000,136.5303400,4.7,4.7,18,サイトウミュージアム,,0,japan_with_rating
Q601002,ピレネー,三重縣,スチール・ローラー・コースター,34.3598320,136.8450000,4.6,4.6,85,ピレネー,http://commons.wikimedia.org/wiki/Special:FilePath/La%20Villa%20Espa%C3%B1ola%20de%20Shima%2C%20Parque%20Espa%C3%B1a%20-%20La%20monta%C3%B1a%20rusa%20%22Los%20Pirineos%22.jpg,1,japan_with_rating
Q47015845,三重县立熊野古道纪念中心,三重縣,遊客中心,34.0617500,136.2145833,4.2,4.2,190,三重県立熊野古道センター,http://commons.wikimedia.org/wiki/Special:FilePath/Kumano%20Kod%C5%8D%20Center%20and%20Mount%20Tengura.JPG,1,japan_with_rating
Q11357837,三重县立美术馆,三重縣,都道府县立博物馆,34.7348330,136.5018890,4,4,962,三重県立美術館,http://commons.wikimedia.org/wiki/Special:FilePath/140405%20Mie%20Prefectural%20Art%20Museum%20Tsu%20Japan02s3.jpg,1,japan_with_rating
Q11357775,三重県綜合博物館,三重縣,公共檔案館,34.7421530,136.5016730,4.1,4.1,1566,三重県総合博物館（MieMu）,http://commons.wikimedia.org/wiki/Special:FilePath/Miemu.in.2014.03.09.jpg,1,japan_with_rating
Q104720738,亀山市歴史博物館,三重縣,歷史博物館,34.8589390,136.4474480,3.8,3.8,112,亀山市歴史博物館,http://commons.wikimedia.org/wiki/Special:FilePath/Kameyama%20City%20Historical%20Museum%20ac%20%281%29.jpg,1,japan_with_rating
Q11371796,二見浦,三重縣,岸,34.5096280,136.7885360,4.5,4.5,40,二見浦,http://commons.wikimedia.org/wiki/Special:FilePath/Meotoiwa.jpg,1,japan_with_rating
Q11371781,伊勢夫婦岩體驗型水族館海洋樂園,三重縣,水族館,34.5072220,136.7919440,4.2,4.2,5363,伊勢シーパラダイス,http://commons.wikimedia.org/wiki/Special:FilePath/Futami%20Sea%20Paradise%2020100516.jpg,1,japan_with_rating
Q48750932,伊勢志摩峰會紀念館,三重縣,博物館,34.3086389,136.8184722,3.9,3.9,538,伊勢志摩サミット記念館 サミエール,http://commons.wikimedia.org/wiki/Special:FilePath/SumMiel%20entrance.jpg,1,japan_with_rating
Q28068255,伊勢河崎商人館,三重縣,历史房屋博物馆,34.4965830,136.7176110,4,4,286,伊勢河崎商人館,http://commons.wikimedia.org/wiki/Special:FilePath/%E4%BC%8A%E5%8B%A2%E6%B2%B3%E5%B4%8E%E5%95%86%E4%BA%BA%E9%A4%A8.jpg,1,japan_with_rating
Q17193123,伊勢現代美術館,三重縣,美術館,34.3404760,136.6930780,3.8,3.8,120,伊勢現代美術館,http://commons.wikimedia.org/wiki/Special:FilePath/%E4%BC%8A%E5%8B%A2%E7%8F%BE%E4%BB%A3%E7%BE%8E%E8%A1%93%E9%A4%A8%E5%A4%96%E8%A6%B3.jpg,1,japan_with_rating
Q11378931,伊勢－安土桃山文化村,三重縣,主題公園,34.4983140,136.7777030,3.6,3.6,2104,伊勢忍者キングダム,http://commons.wikimedia.org/wiki/Special:FilePath/%E4%BC%8A%E5%8B%A2%E3%81%AE%E5%AE%89%E5%9C%9F%E5%9F%8E%20ADUCHI%20CASTLE%20%2C%20ISE%20-%20panoramio.jpg,1,japan_with_rating
Q4306401,伊賀流忍者博物館,三重縣,軍事博物館,34.7717222,136.1291111,4.1,4.1,3165,伊賀流忍者博物館,http://commons.wikimedia.org/wiki/Special:FilePath/%E4%BC%8A%E8%B4%BA%E6%B5%81%E5%BF%8D%E8%80%85%E5%8D%9A%E7%89%A9%E9%A6%86%20-%20panoramio.jpg,1,japan_with_rating
Q109339483,刀剣ワールド桑名・多度,三重縣,美術館,35.1272222,136.5936111,4.6,4.6,82,刀剣ワールド桑名・多度 別館（ホテル多度温泉／ゴルフ場）,http://commons.wikimedia.org/wiki/Special:FilePath/%E5%88%80%E5%89%A3%E3%82%B3%E3%83%AC%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3%E6%A1%91%E5%90%8D%E3%83%BB%E5%A4%9A%E5%BA%A6.jpg,1,japan_with_rating
Q24865208,四日市市立博物館,三重縣,博物館,34.9680000,136.6155556,4.1,4.1,284,四日市市立博物館・プラネタリウム,http://commons.wikimedia.org/wiki/Special:FilePath/Museum%20Yokkaichi.jpg,1,japan_with_rating
Q11432512,大內山動物園,三重縣,動物園,34.2752780,136.3694440,,,0,NOT_FOUND,http://commons.wikimedia.org/wiki/Special:FilePath/Oouchiyama%20zoo001.JPG,1,japan_with_rating
Q97371578,大黒屋光太夫記念館,三重縣,人物紀念館,34.8596235,136.6145457,4.2,4.2,98,大黒屋光太夫記念館,http://commons.wikimedia.org/wiki/Special:FilePath/Q97371578.jpg,1,japan_with_rating
Q333875,夫婦岩,三重縣,觀光景點,34.5094444,136.7883333,4.4,4.4,11984,二見興玉神社,http://commons.wikimedia.org/wiki/Special:FilePath/Meotoiwa.jpg,1,japan_with_rating
Q11465552,尾鷲市立天文科学館,三重縣,天文博物館,34.0723890,136.1930280,4.1,4.1,27,尾鷲市立天文科学館,http://commons.wikimedia.org/wiki/Special:FilePath/NakamurayamaCastle%E4%BA%8C%E3%81%AE%E4%B8%B8.JPG,1,japan_with_rating
Q97178396,庄野宿資料館,三重縣,博物館,34.8845833,136.5256389,3.9,3.9,72,庄野宿資料館,,0,japan_with_rating
Q11490924,志摩市歴史民俗資料館,三重縣,民俗博物館,34.3755000,136.7969720,3.9,3.9,54,志摩市歴史民俗資料館,http://commons.wikimedia.org/wiki/Special:FilePath/Shima%20City%20Hall%20Isobe%20Branch.jpg,1,japan_with_rating
Q11490912,志摩海洋世界水族館,三重縣,水族館,34.3108610,136.8194170,0,0,0,志摩マリンランド,http://commons.wikimedia.org/wiki/Special:FilePath/Shima%20Marine%20Land%2C%20Renewed%20in%202016.jpg,1,japan_with_rating
Q16669013,志摩西班牙村,三重縣,綜合渡假村,34.3618060,136.8442780,4.2,4.2,7997,志摩スペイン村,http://commons.wikimedia.org/wiki/Special:FilePath/La%20Villa%20Espa%C3%B1ola%20de%20Shima%2C%20Parque%20Espa%C3%B1a%20-%20Plaza%20de%20Mayor.jpg,1,japan_with_rating
Q92451961,愛洲の館,三重縣,地方文化館,34.3554167,136.7021111,3.9,3.9,66,愛洲の館,http://commons.wikimedia.org/wiki/Special:FilePath/Gokasyo%20Aisu-no-Yakata%20ac.jpg,1,japan_with_rating
Q137774894,朝日町歴史博物館,三重縣,歷史博物館,35.0366220,136.6591050,3.7,3.7,75,朝日町歴史博物館,http://commons.wikimedia.org/wiki/Special:FilePath/%E6%9C%9D%E6%97%A5%E7%94%BA%E6%AD%B4%E5%8F%B2%E5%8D%9A%E7%89%A9%E9%A4%A8.jpg,1,japan_with_rating
Q11518541,木曽岬町立文化資料館,三重縣,博物館,35.0754750,136.7306390,3.9,3.9,7,木曽岬町立文化資料館,http://commons.wikimedia.org/wiki/Special:FilePath/%E6%9C%A8%E6%9B%BD%E5%B2%AC%E7%94%BA%E7%AB%8B%E6%96%87%E5%8C%96%E8%B3%87%E6%96%99%E9%A4%A8.jpg,1,japan_with_rating
Q122658429,本居宣長記念館,三重縣,人物紀念館,34.5751420,136.5254960,4,4,114,松阪市立歴史民俗資料館,http://commons.wikimedia.org/wiki/Special:FilePath/Motoori%20Norinaga%20Kinenkan.jpg,1,japan_with_rating
Q28686836,村山龍平紀念館,三重縣,博物館,34.4912778,136.6308611,3.7,3.7,116,村山龍平記念館,http://commons.wikimedia.org/wiki/Special:FilePath/Ryohei%20Murayama%20Memorial%20Museum%202021-11%20ac%20%281%29.jpg,1,japan_with_rating
Q97738204,松浦武四郎記念館,三重縣,人物紀念館,34.6425680,136.5090830,4.1,4.1,216,松浦武四郎記念館,,0,japan_with_rating
