id,name,region,category,google_rating,review_count,interest_tags,station_anchor,distance_to_station_km,interest_match,rating_norm,review_norm,station_distance_efficiency,xai_score,image_url,lat,lng,source_id,google_name_matched
2543,東京鐵塔,東京都,觀光景點,4.5,95720,觀光景點,Tokyo Station,3.2,0.70,0.9000,0.9619,0.6114,0.8497,http://commons.wikimedia.org/wiki/Special:FilePath/Tokyo%20Tower%202023.jpg,35.6586111,139.7455556,Q183536,東京タワー
1874,廣島和平紀念資料館,廣島縣,和平博物館,4.7,28477,和平博物館,Hiroshima Station,2.2,0.70,0.9400,0.8602,0.6991,0.8440,http://commons.wikimedia.org/wiki/Special:FilePath/Hiroshima%20Peace%20Memorial%20Museum%202008%2001.JPG,34.3914722,132.4530556,Q1200076,広島平和記念資料館
1034,日本環球影城,大阪府,主題公園,4.5,150796,主題公園,Osaka Station,7.1,0.70,0.9000,1.0000,0.4124,0.8412,http://commons.wikimedia.org/wiki/Special:FilePath/Harry%20Potter%20and%20the%20Forbidden%20Journey%20USJ.JPG,34.6647000,135.4330000,Q1375103,ユニバーサル・スタジオ・ジャパン
999,大阪城天守閣,大阪府,天守,4.4,94489,天守,Osaka Station,3.2,0.70,0.8800,0.9608,0.6083,0.8411,http://commons.wikimedia.org/wiki/Special:FilePath/Osaka%20Castle%20Nishinomaru%20Garden%20April%202005.JPG,34.6872869,135.5258696,Q96338884,大阪城
2581,淺草寺,東京都,佛寺,4.5,93955,佛寺,Tokyo Station,4.6,0.70,0.9000,0.9603,0.5225,0.8404,http://commons.wikimedia.org/wiki/Special:FilePath/Sensoji%202023.jpg,35.7145556,139.7966389,Q615183,浅草寺
2528,東京晴空塔,東京都,廣播塔,4.4,113298,廣播塔,Tokyo Station,5.1,0.70,0.8800,0.9760,0.4960,0.8344,http://commons.wikimedia.org/wiki/Special:FilePath/Tokyo%20Skytree%202023.jpg,35.7100556,139.8107222,Q57965,東京スカイツリー
2440,太鼓館,東京都,音楽博物館,4.9,18135,音楽博物館,Tokyo Station,4.1,0.70,0.9800,0.8224,0.5511,0.8338,http://commons.wikimedia.org/wiki/Special:FilePath/Miyamoto%20Unosuke-4.jpg,35.7118630,139.7917830,Q104698257,Samurai Ninja Museum Asakusa Tokyo
138,梅小路蒸汽機關車館,京都府,建築物,4.5,19276,建築物,Kyoto Station,1.4,0.70,0.9000,0.8275,0.7755,0.8258,http://commons.wikimedia.org/wiki/Special:FilePath/Umekoji%20SL%20museum%20002%20JPN.jpg,34.9872000,135.7430000,Q1049901,京都鉄道博物館
2558,森ビル デジタルアート ミュージアム：エプソン チームラボボーダレス,東京都,美術館,4.6,27775,美術館,Tokyo Station,3.3,0.70,0.9200,0.8581,0.6033,0.8258,http://commons.wikimedia.org/wiki/Special:FilePath/TeamLab%20Borderless%20Azabudai%20Hills.jpg,35.6608823,139.7406572,Q131314431,森ビル デジタルアート ミュージアム：エプソン チームラボボーダレス
104,京都鐵道博物館,京都府,建築物,4.5,19276,建築物,Kyoto Station,1.5,0.70,0.9000,0.8275,0.7700,0.8252,http://commons.wikimedia.org/wiki/Special:FilePath/Kyoto%20Railway%20Museum%2C%20enkei.jpg,34.9872222,135.7425000,Q24014029,京都鉄道博物館
2489,明治神宫,東京都,神宮,4.6,49633,神宮,Tokyo Station,6.2,0.70,0.9200,0.9068,0.4479,0.8248,http://commons.wikimedia.org/wiki/Special:FilePath/Courtyard%20of%20Meiji%20Shrine%2020190717.jpg,35.6761111,139.6991667,Q287165,明治神宮
2217,豐田產業技術紀念館,愛知縣,科技博物館,4.6,13146,科技博物館,Nagoya Station,1.5,0.70,0.9200,0.7954,0.7745,0.8241,http://commons.wikimedia.org/wiki/Special:FilePath/Toyota%20tecno%20museum.jpg,35.1832000,136.8760000,Q7830774,トヨタ産業技術記念館
744,東京迪士尼樂園,千葉縣,觀光景點,4.6,122668,觀光景點,Chiba Station,21.1,0.70,0.9200,0.9827,0.1913,0.8219,http://commons.wikimedia.org/wiki/Special:FilePath/Tokyo%20Disneyland%20Cinderella%20Castle%202023-07-02.jpg,35.6327778,139.8805556,Q843997,東京ディズニーランド
743,東京迪士尼度假區,千葉縣,主題樂園,4.6,108151,主題樂園,Chiba Station,20.9,0.70,0.9200,0.9721,0.1930,0.8189,http://commons.wikimedia.org/wiki/Special:FilePath/A8%20Tokyo%20Disneyland.jpg,35.6297222,139.8827778,Q605492,東京ディズニーリゾート
2666,雷門,東京都,総門,4.5,36955,総門,Tokyo Station,4.2,0.70,0.9000,0.8821,0.5407,0.8187,http://commons.wikimedia.org/wiki/Special:FilePath/Kaminarimon%20%28outer%20gate%29%2C%20Sensoji%20Temple%2C%20Akakusa%2C%20Tokyo.jpg,35.7111333,139.7963250,Q2378708,雷門
81,京都塔,京都府,觀光塔,4.2,17689,觀光塔,Kyoto Station,0.2,0.70,0.8400,0.8203,0.9630,0.8184,http://commons.wikimedia.org/wiki/Special:FilePath/Kyoto%20Tower%202023-12%20ac%20%281%29.jpg,34.9875000,135.7591667,Q1201304,ニデック京都タワー
1045,海遊館,大阪府,水族館,4.5,57755,水族館,Osaka Station,8.1,0.70,0.9000,0.9195,0.3809,0.8139,http://commons.wikimedia.org/wiki/Special:FilePath/Osaka%20Kaiyukan01s3872.jpg,34.6544722,135.4288889,Q1191885,海遊館
2418,国立科学博物馆,東京都,國立博物館,4.5,28525,國立博物館,Tokyo Station,4.0,0.70,0.9000,0.8604,0.5557,0.8137,http://commons.wikimedia.org/wiki/Special:FilePath/NMNC01s3200.jpg,35.7163190,139.7765440,Q74940,国立科学博物館
2518,東京國立博物館,東京都,國立博物館,4.5,30055,國立博物館,Tokyo Station,4.3,0.70,0.9000,0.8647,0.5391,0.8133,http://commons.wikimedia.org/wiki/Special:FilePath/Tokyo%20National%20Museum%2C%20Honkan%202010.jpg,35.7188889,139.7763889,Q653433,東京国立博物館
3707,睡魔之家WARASSE,青森縣,山車会館,4.3,9707,山車会館,Aomori Station,0.2,0.70,0.8600,0.7700,0.9695,0.8119,http://commons.wikimedia.org/wiki/Special:FilePath/Nebuta%20Museum%20Wa%20Rasse%2020200621.jpg,40.8295556,140.7359444,Q11275091,ねぶたの家 ワ･ラッセ
577,札幌啤酒博物館,北海道,啤酒博物館,4.3,17378,啤酒博物館,Sapporo Station,1.5,0.70,0.8600,0.8188,0.7685,0.8065,http://commons.wikimedia.org/wiki/Special:FilePath/Sapporo%20Beer%20Museum.JPG,43.0716667,141.3688889,Q1055944,サッポロビール博物館
2326,SHIBUYA SKY,東京都,觀景台,4.6,24423,觀景台,Tokyo Station,6.4,0.70,0.9200,0.8473,0.4394,0.8061,http://commons.wikimedia.org/wiki/Special:FilePath/Shibuya%20Scramble%20Square%20-%20SHIBUYA%20SKY%2012.jpg,35.6584620,139.7022640,Q116281743,SHIBUYA SKY
2100,名古屋市科學館,愛知縣,科學博物館,4.4,13216,科學博物館,Nagoya Station,1.8,0.70,0.8800,0.7958,0.7368,0.8044,http://commons.wikimedia.org/wiki/Special:FilePath/Low%20frequency%20antennas%20at%20Nagoya%20City%20Science%20Museum.jpg,35.1647722,136.8996667,Q11415016,ＦＵＪＩなごや科学館
972,ハルカス300,大阪府,觀景台,4.6,22086,觀景台,Osaka Station,6.5,0.70,0.9200,0.8389,0.4352,0.8032,http://commons.wikimedia.org/wiki/Special:FilePath/Abeno%20Harukas%20SKY%20GARDEN%20300.jpg,34.6459798,135.5135227,Q118213997,ハルカス300（展望台）
205,BE KOBE,兵庫縣,雕塑,4.3,12008,雕塑,Kobe Station,1.0,0.70,0.8600,0.7878,0.8280,0.8031,http://commons.wikimedia.org/wiki/Special:FilePath/BE%20KOBE%2020190216.jpg,34.6812780,135.1892500,Q116944054,メリケンパーク
3517,长崎原爆资料馆,長崎縣,軍事博物館,4.5,10640,軍事博物館,Nagasaki Station,2.4,0.70,0.9000,0.7777,0.6796,0.8013,http://commons.wikimedia.org/wiki/Special:FilePath/%E9%95%B7%E5%B4%8E%E5%8E%9F%E7%88%86%E8%B3%87%E6%96%99%E9%A4%A8%20-%20panoramio.jpg,32.7726528,129.8645139,Q1099077,長崎原爆資料館
3483,國立長崎原爆死歿者追悼和平祈念館,長崎縣,和平博物館,4.5,10640,和平博物館,Nagasaki Station,2.4,0.70,0.9000,0.7777,0.6793,0.8012,http://commons.wikimedia.org/wiki/Special:FilePath/Nagasaki%20peace%20memorial%20hall.jpg,32.7727778,129.8650000,Q133628,長崎原爆資料館
99,京都水族館,京都府,水族館,4.2,14230,水族館,Kyoto Station,1.0,0.70,0.8400,0.8020,0.8281,0.7994,http://commons.wikimedia.org/wiki/Special:FilePath/Kyoto%20Aquarium%20in%202013-5-2%20No%2C27.JPG,34.9875560,135.7476110,Q11375621,京都水族館
66,チームラボ バイオヴォルテックス 京都,京都府,現代美術館,4.6,3085,現代美術館,Kyoto Station,0.6,0.70,0.9200,0.6738,0.8918,0.7993,,34.9837070,135.7649480,Q137773108,チームラボ バイオヴォルテックス 京都 - 大成建設
2422,國立新美術館,東京都,國立博物館,4.4,21503,國立博物館,Tokyo Station,4.1,0.70,0.8800,0.8367,0.5503,0.7980,http://commons.wikimedia.org/wiki/Special:FilePath/2018%20National%20Art%20Center%2C%20Tokyo%202.jpg,35.6652800,139.7263400,Q1362638,国立新美術館
1875,廣島城,廣島縣,日式城堡,4.2,17602,日式城堡,Hiroshima Station,1.6,0.70,0.8400,0.8199,0.7577,0.7977,http://commons.wikimedia.org/wiki/Special:FilePath/HiroshimaCastle.jpg,34.4027500,132.4590278,Q41977,広島城
2795,沖繩美麗海水族館,沖繩縣,水族館,4.6,70417,水族館,Naha Bus Terminal,57.1,0.70,0.9200,0.9361,0.0805,0.7969,http://commons.wikimedia.org/wiki/Special:FilePath/%E6%B2%96%E7%B8%84%E7%BE%8E%E3%82%89%E6%B5%B7%E6%B0%B4%E6%97%8F%E9%A4%A8%EF%BC%BF%E5%A4%A7.jpg,26.6943889,127.8779444,Q1445750,沖縄美ら海水族館
353,神戶港塔,兵庫縣,觀光塔,4.2,11263,觀光塔,Kobe Station,0.9,0.70,0.8400,0.7824,0.8545,0.7962,http://commons.wikimedia.org/wiki/Special:FilePath/Kobe%20port%20tower12s3200.jpg,34.6825000,135.1866667,Q798766,神戸ポートタワー
352,神戶海洋博物館,兵庫縣,海事博物館,4.2,11263,海事博物館,Kobe Station,1.0,0.70,0.8400,0.7824,0.8328,0.7940,http://commons.wikimedia.org/wiki/Special:FilePath/Hayate01s3200.jpg,34.6827778,135.1883333,Q5364119,神戸ポートタワー
3074,橫濱鋼彈工廠,神奈川縣,主題公園,4.5,11491,主題公園,Yokohama Station,3.6,0.70,0.9000,0.7841,0.5832,0.7935,http://commons.wikimedia.org/wiki/Special:FilePath/GUNDAM%20FACTORY%20YOKOHAMA%202023.jpg,35.4467110,139.6540782,Q105438533,GUNDAM FACTORY YOKOHAMA
2588,澀谷路口,東京都,觀光景點,4.5,20201,觀光景點,Tokyo Station,6.5,0.70,0.9000,0.8314,0.4356,0.7930,http://commons.wikimedia.org/wiki/Special:FilePath/Shibuya%20scramble%20crossing%20during%20Halloween%202023%2C%20actually%20less%20crowded%20than%20usual%2C%20high%20police%20presence%202.jpg,35.6595028,139.7005444,Q21083961,区渋谷交差点
2499,普利司通美術館,東京都,美術館,4.5,2975,美術館,Tokyo Station,0.5,0.70,0.9000,0.6708,0.9079,0.7920,http://commons.wikimedia.org/wiki/Special:FilePath/Artizon%20Museum%20lobby%20view%20201912.jpg,35.6788889,139.7719444,Q913808,アーティゾン美術館
2570,江戶東京博物館,東京都,博物馆建筑,4.4,12982,博物馆建筑,Tokyo Station,3.1,0.70,0.8800,0.7943,0.6161,0.7919,http://commons.wikimedia.org/wiki/Special:FilePath/Edo-Tokyo%20Museum.jpg,35.6963890,139.7960830,Q1191042,江戸東京博物館
2475,日本國立西洋美術館,東京都,博物馆建筑,4.5,11618,博物馆建筑,Tokyo Station,3.9,0.70,0.9000,0.7850,0.5631,0.7918,http://commons.wikimedia.org/wiki/Special:FilePath/National%20museum%20of%20western%20art05s3200.jpg,35.7153567,139.7758498,Q1362629,国立西洋美術館
2362,三菱一號館美術館,東京都,美術館,4.4,3682,美術館,Tokyo Station,0.5,0.70,0.8800,0.6887,0.9141,0.7900,http://commons.wikimedia.org/wiki/Special:FilePath/Mitsubishi%20Ichigokan%20Museum.JPG,35.6783550,139.7632550,Q3815458,三菱一号館美術館
958,HEP NAVIO,大阪府,複合商業設施,4.0,12282,複合商業設施,Osaka Station,0.4,0.70,0.8000,0.7897,0.9299,0.7899,http://commons.wikimedia.org/wiki/Special:FilePath/Osaka%2C%20hep%20navio%2001.jpg,34.7032214,135.4999319,Q138666212,HEP FIVE
474,北海道大學綜合博物館,北海道,大學博物館,4.5,3212,大學博物館,Sapporo Station,0.8,0.70,0.9000,0.6772,0.8563,0.7888,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Hokkaido%20University%20Museum.png,43.0722222,141.3416667,Q18339280,北海道大学総合博物館
78,京都國立博物館,京都府,國立博物館,4.3,8077,國立博物館,Kyoto Station,1.4,0.70,0.8600,0.7545,0.7830,0.7887,http://commons.wikimedia.org/wiki/Special:FilePath/Kyoto%20National%20Museum%202009.jpg,34.9899930,135.7731210,Q147286,京都国立博物館
956,HEP,大阪府,複合商業設施,4.0,12282,複合商業設施,Osaka Station,0.4,0.70,0.8000,0.7897,0.9178,0.7887,http://commons.wikimedia.org/wiki/Special:FilePath/TOHO%20CINEMAS%20Umeda%20in%20201409.JPG,34.7040028,135.5004466,Q751156,HEP FIVE
957,HEP FIVE,大阪府,購物中心,4.0,12282,購物中心,Osaka Station,0.5,0.70,0.8000,0.7897,0.9169,0.7886,http://commons.wikimedia.org/wiki/Special:FilePath/HEP-FIVE%20in%20201409%20001.JPG,34.7040826,135.5004685,Q138666211,HEP FIVE
3508,長崎和平博物館,長崎縣,和平博物館,4.2,12405,和平博物館,Nagasaki Station,1.8,0.70,0.8400,0.7905,0.7374,0.7869,,32.7362222,129.8681944,Q11323718,グラバー園
2357,ワーナー ブラザース スタジオツアー東京 - メイキング・オブ ハリー・ポッター,東京都,テーマパーク,4.7,15426,テーマパーク,Tokyo Station,13.1,0.70,0.9400,0.8088,0.2761,0.7863,http://commons.wikimedia.org/wiki/Special:FilePath/Warner%20Bros.%20Studio%20Tour%20Tokyo%20entrance%20%282%29%202023-08-17.jpg,35.7450000,139.6450000,Q117148543,ワーナー ブラザース スタジオツアー東京 - メイキング・オブ・ハリー・ポッター
219,モザイクガーデン,兵庫縣,主題樂園,4.2,6479,主題樂園,Kobe Station,0.6,0.70,0.8400,0.7361,0.8874,0.7856,http://commons.wikimedia.org/wiki/Special:FilePath/Mozaic-garden007.jpg,34.6785560,135.1849440,Q11344287,神戸ハーバーランドumie モザイク
3482,哥拉巴園,長崎縣,戶外博物館,4.2,12405,戶外博物館,Nagasaki Station,2.0,0.70,0.8400,0.7905,0.7173,0.7849,http://commons.wikimedia.org/wiki/Special:FilePath/Nagasaki-Glover-Garden-5415.jpg,32.7344444,129.8688889,Q63465,グラバー園
588,札幌市鐘樓,北海道,多功能大厅,3.9,17131,多功能大厅,Sapporo Station,0.7,0.70,0.7800,0.8176,0.8745,0.7847,http://commons.wikimedia.org/wiki/Special:FilePath/20200119%20Sapporo%20Clock%20Tower.jpg,43.0626020,141.3536810,Q1140619,札幌市時計台
2519,東京國立近代美術館,東京都,國立博物館,4.3,7375,國立博物館,Tokyo Station,1.5,0.70,0.8600,0.7469,0.7654,0.7846,http://commons.wikimedia.org/wiki/Special:FilePath/National%20Museum%20of%20Modern%20Art%20Tokyo.jpg,35.6905530,139.7546420,Q1359908,東京国立近代美術館
3066,橫濱宇宙樂園,神奈川縣,主題樂園,4.2,10335,主題樂園,Yokohama Station,1.8,0.70,0.8400,0.7752,0.7396,0.7825,http://commons.wikimedia.org/wiki/Special:FilePath/Yokohama-Japon112.JPG,35.4552030,139.6366810,Q11262875,よこはまコスモワールド
