source_id,name,prefecture,category,lat,lng,google_rating,google_star,google_review_count,google_name_matched,image_url,has_image,source
Q31511378,Amaga Take,三重縣,山,34.5577778,136.2197222,4.1,4.1,25,尼ヶ岳,,0,japan_with_rating
Q31511770,Arochi San,三重縣,山,34.2663889,136.4252778,,,0,NOT_FOUND,,0,japan_with_rating
Q31707180,Asama Yama,三重縣,山,34.3594000,136.4589000,,,0,NOT_FOUND,,0,japan_with_rating
Q31511580,Daimyōjin Yama,三重縣,山,34.5080556,136.4702778,,,0,NOT_FOUND,,0,japan_with_rating
Q31511630,Ematano Kashira,三重縣,山,34.3225000,136.1633333,,,0,NOT_FOUND,,0,japan_with_rating
Q31511759,Gyōja Yama,三重縣,山,34.3036111,136.3694444,,,0,NOT_FOUND,,0,japan_with_rating
Q31703876,Hase Yama,三重縣,山,34.7333333,136.4333333,3.9,3.9,24,長谷山,,0,japan_with_rating
Q31487189,Hiyori Yama,三重縣,山,34.0936111,136.2747222,,,0,NOT_FOUND,,0,japan_with_rating
Q31702795,Hossaka Yama,三重縣,山,34.5466667,136.4330556,4.5,4.5,40,堀坂山,,0,japan_with_rating
Q31511562,Kannon Dake,三重縣,山,34.5625000,136.4411111,4.4,4.4,21,観音岳,,0,japan_with_rating
Q31511792,Karasu Dake,三重縣,山,34.4606000,136.4193000,,,0,NOT_FOUND,,0,japan_with_rating
Q31700015,Kasatori Yama,三重縣,山,34.7350000,136.2966667,4.1,4.1,11,笠取山,,0,japan_with_rating
Q31511825,Kashi Yama,三重縣,山,34.1461111,136.1494444,,,0,NOT_FOUND,,0,japan_with_rating
Q31698943,Kogamaru Yama,三重縣,山,34.3094444,136.1938889,,,0,NOT_FOUND,,0,japan_with_rating
Q31511663,Komori Yama,三重縣,山,34.2675000,136.2005556,,,0,NOT_FOUND,,0,japan_with_rating
Q31511710,Kunimi Yama,三重縣,山,34.2802778,136.1480556,5,5,1,国見山,,0,japan_with_rating
Q31696817,Kyōga Mine,三重縣,山,34.7669444,136.3741667,,,0,NOT_FOUND,,0,japan_with_rating
Q31511615,Mayoi Dake,三重縣,山,34.3502778,136.2075000,,,0,NOT_FOUND,,0,japan_with_rating
Q31804195,Myōjōga Take,三重縣,山,34.8875000,136.3886111,,,0,NOT_FOUND,,0,japan_with_rating
Q31511431,Nonobori Yama,三重縣,山,34.9472222,136.4166667,,,0,NOT_FOUND,,0,japan_with_rating
Q113588993,Ounoura Bridge,三重縣,公路橋,34.4404428,136.8818668,3.8,3.8,44,麻生の浦大橋,http://commons.wikimedia.org/wiki/Special:FilePath/Ounoura%20bridge02.jpg,1,japan_with_rating
Q31511410,Rei Zan,三重縣,山,34.8172222,136.2608333,4,4,22,霊山 山頂遺跡,,0,japan_with_rating
Q31511726,Ryūtō Zan,三重縣,山,34.3341667,136.2969444,,,0,NOT_FOUND,,0,japan_with_rating
Q31511395,Saikyō Zan,三重縣,山,34.7777778,136.2558333,,,0,NOT_FOUND,,0,japan_with_rating
Q31511678,Senchiyoga Mine,三重縣,山,34.2461111,136.2175000,,,0,NOT_FOUND,,0,japan_with_rating
Q31511529,Shakujōga Take,三重縣,山,34.8227778,136.3591667,,,0,NOT_FOUND,,0,japan_with_rating
Q31511598,Shirai Zan,三重縣,山,34.5061111,136.4063889,,,0,NOT_FOUND,,0,japan_with_rating
Q31511545,Suribachi Yama,三重縣,山,34.7928000,136.3953000,4,4,2,摺鉢山,,0,japan_with_rating
Q31511512,Taka Mine,三重縣,山,34.6022222,136.3338889,,,0,NOT_FOUND,,0,japan_with_rating
Q31511645,Takahachi Yama,三重縣,山,34.4208000,136.2052000,5,5,1,高鉢山,,0,japan_with_rating
Q31487123,Takamaru Yama,三重縣,山,34.1163889,136.2052778,,,0,NOT_FOUND,,0,japan_with_rating
Q31511496,Takasuno Mine,三重縣,山,34.5075000,136.3480556,,,0,NOT_FOUND,,0,japan_with_rating
Q31511809,Tochi Yama,三重縣,山,34.1197222,136.1466667,,,0,NOT_FOUND,,0,japan_with_rating
Q31511779,Yaga Mine,三重縣,山,34.2708333,136.3422222,,,0,NOT_FOUND,,0,japan_with_rating
Q31685899,Yazu San,三重縣,山,34.5725000,136.3725000,,,0,NOT_FOUND,,0,japan_with_rating
Q31511694,Ōkōchi Yama,三重縣,山,34.2205000,136.1956000,,,0,NOT_FOUND,,0,japan_with_rating
Q31511743,Ōkōchi Yama,三重縣,山,34.2855556,136.4197222,,,0,NOT_FOUND,,0,japan_with_rating
Q17222158,オーストラリア記念館,三重縣,博物館,34.9852220,136.6486110,0,0,0,オーストラリア記念館跡地,http://commons.wikimedia.org/wiki/Special:FilePath/Japan%20World%20Exposition%20Australia%20Memorial.jpg,1,japan_with_rating
Q135284751,サイトウミュージアム,三重縣,美術館,34.5767000,136.5303400,4.7,4.7,18,サイトウミュージアム,,0,japan_with_rating
Q601002,ピレネー,三重縣,スチール・ローラー・コースター,34.3598320,136.8450000,4.6,4.6,85,ピレネー,http://commons.wikimedia.org/wiki/Special:FilePath/La%20Villa%20Espa%C3%B1ola%20de%20Shima%2C%20Parque%20Espa%C3%B1a%20-%20La%20monta%C3%B1a%20rusa%20%22Los%20Pirineos%22.jpg,1,japan_with_rating
Q132459213,万葉の里公園,三重縣,万葉植物園,35.1524680,136.5258250,3.7,3.7,203,万葉の里公園,,0,japan_with_rating
Q11355210,三峰山,三重縣,山,34.4486110,136.2063890,4.5,4.5,103,三峰山,http://commons.wikimedia.org/wiki/Special:FilePath/%E9%AB%98%E8%A6%8B%E5%B1%B1%E3%81%8B%E3%82%89%E8%A6%8B%E3%81%9F%E4%B8%89%E5%B3%B0%E5%B1%B1.jpg,1,japan_with_rating
Q31510489,三津河落山,三重縣,山,34.1933333,136.0941667,5,5,2,三津河落山,http://commons.wikimedia.org/wiki/Special:FilePath/Around%20Mount%20Odaigahara%20and%20Mount%20Sanzukouchi.jpg,1,japan_with_rating
Q47015845,三重县立熊野古道纪念中心,三重縣,遊客中心,34.0617500,136.2145833,4.5,4.5,8,三重県立態野古道センター 研究収蔵棟,http://commons.wikimedia.org/wiki/Special:FilePath/Kumano%20Kod%C5%8D%20Center%20and%20Mount%20Tengura.JPG,1,japan_with_rating
Q11357837,三重县立美术馆,三重縣,都道府县立博物馆,34.7348330,136.5018890,4,4,963,三重県立美術館,http://commons.wikimedia.org/wiki/Special:FilePath/140405%20Mie%20Prefectural%20Art%20Museum%20Tsu%20Japan02s3.jpg,1,japan_with_rating
Q11357775,三重県綜合博物館,三重縣,公共檔案館,34.7421530,136.5016730,4.1,4.1,1566,三重県総合博物館（MieMu）,http://commons.wikimedia.org/wiki/Special:FilePath/Miemu.in.2014.03.09.jpg,1,japan_with_rating
Q49657232,丸山島,三重縣,島嶼,34.1705556,136.3044444,0,0,0,丸山島,,0,japan_with_rating
Q104720738,亀山市歴史博物館,三重縣,歷史博物館,34.8589390,136.4474480,3.8,3.8,112,亀山市歴史博物館,http://commons.wikimedia.org/wiki/Special:FilePath/Kameyama%20City%20Historical%20Museum%20ac%20%281%29.jpg,1,japan_with_rating
Q11371796,二見浦,三重縣,岸,34.5096280,136.7885360,4.4,4.4,12043,二見興玉神社,http://commons.wikimedia.org/wiki/Special:FilePath/Meotoiwa.jpg,1,japan_with_rating
Q96254639,五ヶ所浅間山,三重縣,鄉土富士,34.3597222,136.7036111,4.6,4.6,24,五ヶ所浅間山,http://commons.wikimedia.org/wiki/Special:FilePath/Gokasyo%20River%20and%20Mt.Gokasyo%20Asamayama%20ac%20%281%29.jpg,1,japan_with_rating
Q15616753,京路山,三重縣,山,34.3847500,136.7435280,4.8,4.8,4,京路山,http://commons.wikimedia.org/wiki/Special:FilePath/Gokasho%20Bay%20and%20Mount%20Kyoro.jpg,1,japan_with_rating
Q11321015,伊势湾岸道揖斐川桥,三重縣,橋,35.0330556,136.7280556,,,0,NOT_FOUND,http://commons.wikimedia.org/wiki/Special:FilePath/Twinkle%20Kisogawa%20bridge02.jpg,1,japan_with_rating
Q11371781,伊勢夫婦岩體驗型水族館海洋樂園,三重縣,水族館,34.5072220,136.7919440,4.2,4.2,5386,伊勢シーパラダイス,http://commons.wikimedia.org/wiki/Special:FilePath/Futami%20Sea%20Paradise%2020100516.jpg,1,japan_with_rating
Q48750932,伊勢志摩峰會紀念館,三重縣,博物館,34.3086389,136.8184722,3.9,3.9,539,伊勢志摩サミット記念館 サミエール,http://commons.wikimedia.org/wiki/Special:FilePath/SumMiel%20entrance.jpg,1,japan_with_rating
Q28068255,伊勢河崎商人館,三重縣,历史房屋博物馆,34.4965830,136.7176110,4,4,286,伊勢河崎商人館,http://commons.wikimedia.org/wiki/Special:FilePath/%E4%BC%8A%E5%8B%A2%E6%B2%B3%E5%B4%8E%E5%95%86%E4%BA%BA%E9%A4%A8.jpg,1,japan_with_rating
Q17193123,伊勢現代美術館,三重縣,美術館,34.3404760,136.6930780,3.8,3.8,120,伊勢現代美術館,http://commons.wikimedia.org/wiki/Special:FilePath/%E4%BC%8A%E5%8B%A2%E7%8F%BE%E4%BB%A3%E7%BE%8E%E8%A1%93%E9%A4%A8%E5%A4%96%E8%A6%B3.jpg,1,japan_with_rating
Q130483428,伊勢辻山,三重縣,山,34.3878320,136.0716740,4,4,2,伊勢辻山,,0,japan_with_rating
Q11378931,伊勢－安土桃山文化村,三重縣,主題公園,34.4983140,136.7777030,3.6,3.6,2115,伊勢忍者キングダム,http://commons.wikimedia.org/wiki/Special:FilePath/%E4%BC%8A%E5%8B%A2%E3%81%AE%E5%AE%89%E5%9C%9F%E5%9F%8E%20ADUCHI%20CASTLE%20%2C%20ISE%20-%20panoramio.jpg,1,japan_with_rating
Q4306401,伊賀流忍者博物館,三重縣,軍事博物館,34.7717222,136.1291111,4.1,4.1,3165,伊賀流忍者博物館,http://commons.wikimedia.org/wiki/Special:FilePath/%E4%BC%8A%E8%B4%BA%E6%B5%81%E5%BF%8D%E8%80%85%E5%8D%9A%E7%89%A9%E9%A6%86%20-%20panoramio.jpg,1,japan_with_rating
Q49676571,佐波留島,三重縣,島嶼,34.0708333,136.2544444,4.4,4.4,5,佐波留島,,0,japan_with_rating
Q31487084,便石山,三重縣,山,34.0958333,136.1838889,4.4,4.4,24,便石山,http://commons.wikimedia.org/wiki/Special:FilePath/Mount%20Binshi%20s2.jpg,1,japan_with_rating
Q31511870,保色山,三重縣,山,34.0033333,136.0955556,,,0,NOT_FOUND,,0,japan_with_rating
Q11387108,俱留尊山,三重縣,鄉土富士,34.5308333,136.1702778,4,4,91,倶留尊山,http://commons.wikimedia.org/wiki/Special:FilePath/%E5%80%B6%E7%95%99%E5%B0%8A%E5%B1%B1.jpg,1,japan_with_rating
Q11389042,入道岳,三重縣,山,34.9738890,136.4338890,4.5,4.5,130,入道ヶ岳,http://commons.wikimedia.org/wiki/Special:FilePath/Nyuudougatake%20from%20kamagatake%202010%206%202.jpg,1,japan_with_rating
Q31487023,八鬼山,三重縣,山,34.0302500,136.2163900,4.6,4.6,12,八鬼山,,0,japan_with_rating
Q11392512,六華苑,三重縣,庭園,35.0709440,136.6924440,4.3,4.3,1424,六華苑,http://commons.wikimedia.org/wiki/Special:FilePath/Rokkaen%20ac%20%287%29.jpg,1,japan_with_rating
Q109339483,刀剣ワールド桑名・多度,三重縣,美術館,35.1272222,136.5936111,4.6,4.6,82,刀剣ワールド桑名・多度 別館（ホテル多度温泉／ゴルフ場）,http://commons.wikimedia.org/wiki/Special:FilePath/%E5%88%80%E5%89%A3%E3%82%B3%E3%83%AC%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3%E6%A1%91%E5%90%8D%E3%83%BB%E5%A4%9A%E5%BA%A6.jpg,1,japan_with_rating
Q17229517,名花之里,三重縣,植物園,35.0811110,136.7035560,4.4,4.4,6605,なばなの里,http://commons.wikimedia.org/wiki/Special:FilePath/%E3%81%AA%E3%81%B0%E3%81%AA%E3%81%AE%E9%87%8C%20%E4%B8%89%E9%87%8D%E7%9C%8C%E6%A1%91%E5%90%8D%E5%B8%82%E9%95%B7%E5%B3%B6%E7%94%BA%20%284038094192%29.jpg,1,japan_with_rating
Q24865208,四日市市立博物館,三重縣,博物館,34.9680000,136.6155556,4.1,4.1,284,四日市市立博物館・プラネタリウム,http://commons.wikimedia.org/wiki/Special:FilePath/Museum%20Yokkaichi.jpg,1,japan_with_rating
Q31510738,国見山 (三重県名張市・津市・奈良県曽爾村),三重縣,山,34.5483333,136.1616667,,,0,NOT_FOUND,,0,japan_with_rating
