id,name,region,category,google_rating,review_count,interest_tags,station_anchor,distance_to_station_km,rating_norm,review_norm,station_distance_efficiency,static_score,image_url,lat,lng,source_id,google_name_matched
Q1186358,奈良公園,奈良縣,城市公園,4.6,73032,城市公園,Nara Station,2.3,0.9200,0.9389,0.6834,0.8911,http://commons.wikimedia.org/wiki/Special:FilePath/Five-storied%20Pagoda%2C%20Kofuku-ji%20-%20Nara%2C%20Japan%20-%20DSC07497.jpg,34.6854528,135.8434111,Q1186358,奈良公園
Q28531358,ONE PIECE LIVE ATTRACTION,東京都,主題公園,4.5,96139,主題公園,Tokyo Station,3.2,0.9000,0.9619,0.6114,0.8784,,35.6586111,139.7455556,Q28531358,東京タワー
Q183536,東京鐵塔,東京都,觀光景點,4.5,96138,觀光景點,Tokyo Station,3.2,0.9000,0.9619,0.6114,0.8784,http://commons.wikimedia.org/wiki/Special:FilePath/Tokyo%20Tower%202023.jpg,35.6586111,139.7455556,Q183536,東京タワー
Q1207208,广岛和平纪念公园,廣島縣,紀念公園,4.7,29452,紀念公園,Hiroshima Station,2.2,0.9400,0.8627,0.6971,0.8765,http://commons.wikimedia.org/wiki/Special:FilePath/20181111%20Hiroshima%20Memorial%20Cenotaph-1.jpg,34.3927280,132.4523740,Q1207208,平和記念公園
Q1200076,廣島和平紀念資料館,廣島縣,和平博物館,4.7,28585,和平博物館,Hiroshima Station,2.2,0.9400,0.8602,0.6991,0.8759,http://commons.wikimedia.org/wiki/Special:FilePath/Hiroshima%20Peace%20Memorial%20Museum%202008%2001.JPG,34.3914722,132.4530556,Q1200076,広島平和記念資料館
Q96338884,大阪城天守閣,大阪府,天守,4.4,94489,天守,Osaka Station,3.2,0.8800,0.9605,0.6083,0.8674,http://commons.wikimedia.org/wiki/Special:FilePath/Osaka%20Castle%20Nishinomaru%20Garden%20April%202005.JPG,34.6872869,135.5258696,Q96338884,大阪城
Q1375103,日本環球影城,大阪府,主題公園,4.5,151422,主題公園,Osaka Station,7.1,0.9000,1.0000,0.4124,0.8619,http://commons.wikimedia.org/wiki/Special:FilePath/Harry%20Potter%20and%20the%20Forbidden%20Journey%20USJ.JPG,34.6647000,135.4330000,Q1375103,ユニバーサル・スタジオ・ジャパン
Q57965,東京晴空塔,東京都,廣播塔,4.4,113886,廣播塔,Tokyo Station,5.1,0.8800,0.9761,0.4960,0.8560,http://commons.wikimedia.org/wiki/Special:FilePath/Tokyo%20Skytree%202023.jpg,35.7100556,139.8107222,Q57965,東京スカイツリー
Q1049901,梅小路蒸汽機關車館,京都府,建築物,4.5,19337,建築物,Kyoto Station,1.4,0.9000,0.8275,0.7755,0.8559,http://commons.wikimedia.org/wiki/Special:FilePath/Umekoji%20SL%20museum%20002%20JPN.jpg,34.9872000,135.7430000,Q1049901,京都鉄道博物館
Q24014029,京都鐵道博物館,京都府,建築物,4.5,19337,建築物,Kyoto Station,1.5,0.9000,0.8275,0.7700,0.8551,http://commons.wikimedia.org/wiki/Special:FilePath/Kyoto%20Railway%20Museum%2C%20enkei.jpg,34.9872222,135.7425000,Q24014029,京都鉄道博物館
Q7830774,豐田產業技術紀念館,愛知縣,科技博物館,4.6,13216,科技博物館,Nagoya Station,1.5,0.9200,0.7956,0.7745,0.8546,http://commons.wikimedia.org/wiki/Special:FilePath/Toyota%20tecno%20museum.jpg,35.1832000,136.8760000,Q7830774,トヨタ産業技術記念館
