source_id,name,prefecture,category,lat,lng,image_url
Q17221655,波羅蜜多博物館,三重縣,美術館,35.0127820,136.4898250,http://commons.wikimedia.org/wiki/Special:FilePath/Paramita%20museum.jpg
Q104720738,亀山市歴史博物館,三重縣,歷史博物館,34.8589390,136.4474480,http://commons.wikimedia.org/wiki/Special:FilePath/Kameyama%20City%20Historical%20Museum%20ac%20%281%29.jpg
Q11340103,馬孔德美術館,三重縣,美術館,34.4907778,136.8116667,http://commons.wikimedia.org/wiki/Special:FilePath/Makonde%20Art%20Museum%20in%20Futami.jpg
Q104720761,鈴鹿市考古博物館,三重縣,考古博物館,34.9070730,136.5645640,http://commons.wikimedia.org/wiki/Special:FilePath/Suzuka%20Municipal%20Museum%20of%20Archaeology%20gaikan.JPG
Q11357837,三重县立美术馆,三重縣,都道府县立博物馆,34.7348330,136.5018890,http://commons.wikimedia.org/wiki/Special:FilePath/140405%20Mie%20Prefectural%20Art%20Museum%20Tsu%20Japan02s3.jpg
Q11581025,皇學館大學佐川記念神道博物館,三重縣,宗教博物馆,34.4841720,136.7259080,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Museum%20of%20Shinto%20and%20Japanese%20Culture%2C%20Kogakkan%20University%20in%202011.jpg
Q122658429,本居宣長記念館,三重縣,人物紀念館,34.5751420,136.5254960,http://commons.wikimedia.org/wiki/Special:FilePath/Motoori%20Norinaga%20Kinenkan.jpg
Q97178396,庄野宿資料館,三重縣,博物館,34.8845833,136.5256389,
Q28068664,松阪市立歴史民俗資料館,三重縣,地方文化館,34.5766000,136.5258611,http://commons.wikimedia.org/wiki/Special:FilePath/Matsusaka%20City%20Museum%20of%20History%20and%20Folklore%202024-04%20ac%20%281%29.jpg
Q17193123,伊勢現代美術館,三重縣,美術館,34.3404760,136.6930780,http://commons.wikimedia.org/wiki/Special:FilePath/%E4%BC%8A%E5%8B%A2%E7%8F%BE%E4%BB%A3%E7%BE%8E%E8%A1%93%E9%A4%A8%E5%A4%96%E8%A6%B3.jpg
Q11558616,鳥羽市立海之博物館,三重縣,民俗博物館,34.4492080,136.8998720,http://commons.wikimedia.org/wiki/Special:FilePath/Toba%20Sea-Folk%20Museum01.jpg
Q137775892,神宮美術館,三重縣,美術館,34.4866810,136.7235100,http://commons.wikimedia.org/wiki/Special:FilePath/%E5%BC%8F%E5%B9%B4%E9%81%B7%E5%AE%AE%E8%A8%98%E5%BF%B5%E7%A5%9E%E5%AE%AE%E7%BE%8E%E8%A1%93%E9%A4%A8.jpg
Q11500404,齋宮歴史博物館,三重縣,都道府县立博物馆,34.5427780,136.6094440,http://commons.wikimedia.org/wiki/Special:FilePath/Saik%C3%BB%20Historical%20Museum2.jpg
Q11589488,神宮徵古館,三重縣,歷史博物館,34.4855560,136.7244440,http://commons.wikimedia.org/wiki/Special:FilePath/Jingu-Chokokan%2002.JPG
Q11432512,大內山動物園,三重縣,動物園,34.2752780,136.3694440,http://commons.wikimedia.org/wiki/Special:FilePath/Oouchiyama%20zoo001.JPG
Q333875,夫婦岩,三重縣,觀光景點,34.5094444,136.7883333,http://commons.wikimedia.org/wiki/Special:FilePath/Meotoiwa.jpg
Q17222158,オーストラリア記念館,三重縣,博物館,34.9852220,136.6486110,http://commons.wikimedia.org/wiki/Special:FilePath/Japan%20World%20Exposition%20Australia%20Memorial.jpg
Q11650411,錦タワー,三重縣,津波避難施設,34.2228610,136.3983610,http://commons.wikimedia.org/wiki/Special:FilePath/Nishiki%20tower.JPG
Q11634688,貨物鐵道博物館,三重縣,鐵路博物館,35.1235560,136.5188610,
Q11537188,桐垣展望台,三重縣,觀景台,34.2873890,136.8375280,http://commons.wikimedia.org/wiki/Special:FilePath/Ago%20Bay%20Sunset.jpg
Q11349249,羅浮雕刻藝術館,三重縣,彫刻美術館,34.6765310,136.3493000,http://commons.wikimedia.org/wiki/Special:FilePath/Louvre%20Sculpture%20Museum%2C%20Mie.jpg
